,_geopoint,adresse_ban,numero_dpe,etiquette_dpe,etiquette_ges,conso_5_usages_par_m2_ef,emission_ges_5_usages_par_m2,categorie_enr,date_visite_diagnostiqueur
3956,"48.82754200129207,2.3792399441980243",71 Avenue de France 75013 Paris,2375N3284722U,C,C,81.7,13.7,réseau de chaleur ou de froid vertueux,2023-09-20
3957,"48.8517710087486,2.4073170254996294",93 Rue des Grands Champs 75020 Paris,2275N0818242D,C,C,102.9,22.6,,2022-04-18
3958,"48.8933119663373,2.315717957545147",188b Avenue de Clichy 75017 Paris,2475N2328165E,A,A,60.0,4.0,,2024-05-15
3959,"48.8933119663373,2.315717957545147",188b Avenue de Clichy 75017 Paris,2475N2329506T,A,A,61.0,4.0,,2024-05-15
3960,"48.82716396478538,2.3795980616521337",61 Avenue de France 75013 Paris,2375N3205582Y,B,B,58.0,9.5,réseau de chaleur ou de froid vertueux,2023-09-20
3961,"48.87503796991122,2.4119910682573873",3 Rue Bessie Coleman 75020 Paris,2475N0597975K,A,A,49.7,1.6,panneaux solaires photovoltaïques,2024-01-02
3962,"48.8933119663373,2.315717957545147",188b Avenue de Clichy 75017 Paris,2475N2313389W,A,A,50.0,3.0,,2024-05-15
3963,"48.83834795814197,2.371533980234012",Rue Fulton 75013 Paris,2275N2158461A,B,B,23.9,6.3,,2022-09-07
3964,"48.89678301934797,2.372899933316069",16 Voie Eu/19 75019 Paris,2275N1129091W,A,A,28.9,2.1,Il existe plusieurs descriptifs ENR,2022-05-22
3965,"48.81781404188524,2.3579600659633777",11 Rue Paul Bourget 75013 Paris,2375N2727031D,B,B,37.0,7.0,pompe à chaleur,2023-08-06
3966,"48.83834795814197,2.371533980234012",Rue Fulton 75013 Paris,2275N2125563S,A,A,13.6,4.4,,2022-09-07
3967,"48.81720697470296,2.3591029571998248",8 Rue Germaine Krull 75013 Paris,2575N0146172K,B,B,48.0,10.0,panneaux solaires photovoltaïques,2024-12-10
3968,"48.8500410141117,2.2917190373713154",12 Rue de Lourmel 75015 Paris,2375N0902053R,C,A,62.6,4.7,chauffe-eau thermodynamique,2023-03-14
3969,"48.87221696206704,2.3905800013095666",58 Rue des Cascades 75020 Paris,2375N1558563B,C,C,56.0,12.0,,2023-04-24
3970,"48.84296700742873,2.2812759918113614",31 Rue des Bergers 75015 Paris,2475N1378050H,A,A,62.0,4.0,,2024-04-09
3971,"48.84773299595253,2.2968450263111118",Rue Letellier 75015 Paris,2175N0930627P,C,C,64.1,14.0,,2021-12-13
3972,"48.82716396478538,2.3795980616521337",61 Avenue de France 75013 Paris,2375N3205654S,C,C,76.8,12.7,réseau de chaleur ou de froid vertueux,2023-09-20
3973,"48.846810958508954,2.3807470098812527",47 Boulevard Diderot 75012 Paris,2180N0950528F,C,C,84.8,18.7,,2021-12-19
3974,"48.825855989705424,2.352999054962969",175b Rue de Tolbiac 75013 Paris,2275N2645863G,C,C,65.0,13.0,pompe à chaleur,2022-10-17
3975,"48.86576700657001,2.35818397706302",21 Rue des Fontaines du Temple 75003 Paris,2475N3287672H,C,A,50.1,3.7,Il existe plusieurs descriptifs ENR,2024-08-29
3976,"48.87246395650188,2.391029059009897",357 Rue des Pyrénées 75020 Paris,2475N0909565Q,B,A,42.0,3.0,,2024-03-10
3977,"48.89187096568627,2.369838056749515",Rue d'Aubervilliers 75019 Paris,2275N1192425U,A,A,18.4,1.3,Il existe plusieurs descriptifs ENR,2022-05-30
3978,"48.89535897420391,2.3585060634025963",59b Rue de la Chapelle 75018 Paris,2275N2041521I,C,C,53.5,19.7,,2022-09-07
3979,"48.83834795814197,2.371533980234012",Rue Fulton 75013 Paris,2275N2136318J,B,B,26.7,7.2,,2022-09-07
3980,"48.87379800707683,2.3594740283438753",10 Passage Dubail 75010 Paris,2475N4139064D,C,C,81.0,17.0,panneaux solaires photovoltaïques,2024-11-21
3981,"48.875535956163105,2.4112280670689787",Rue Paul Meurice 75020 Paris,2375N3010515J,A,A,52.0,1.0,Il existe plusieurs descriptifs ENR,2023-07-24
3982,"48.83932598226895,2.3185700610026854",Allée de la Deuxième D.b. 75014 Paris,2175N0521209T,C,C,66.0,14.0,,2021-10-11
3983,"48.81720697470296,2.3591029571998248",8 Rue Germaine Krull 75013 Paris,2575N0146167F,C,C,87.0,19.0,panneaux solaires photovoltaïques,2024-12-10
3984,"48.87246395650188,2.391029059009897",357 Rue des Pyrénées 75020 Paris,2475N0909590P,B,A,42.0,3.0,,2024-03-10
3985,"48.87246395650188,2.391029059009897",357 Rue des Pyrénées 75020 Paris,2475N0909525C,A,A,30.0,2.0,,2024-03-10
3986,"48.83834795814197,2.371533980234012",Rue Fulton 75013 Paris,2275N2136174V,B,B,33.0,10.1,,2022-09-07
3987,"48.89535897420391,2.3585060634025963",59b Rue de la Chapelle 75018 Paris,2275N2041652J,C,C,53.5,19.7,,2022-09-07
3988,"48.89237302794069,2.3526859979856845",1 Allée d'Andrézieux 75018 Paris,2475N3222366N,A,A,33.9,2.3,Il existe plusieurs descriptifs ENR,2024-08-28
3989,"48.89187096568627,2.369838056749515",Rue d'Aubervilliers 75019 Paris,2275N1192099G,A,A,17.6,1.2,pompe à chaleur,2022-05-30
3990,"48.89187096568627,2.369838056749515",Rue d'Aubervilliers 75019 Paris,2275N1227303G,A,A,21.4,1.5,Il existe plusieurs descriptifs ENR,2022-06-02
3991,"48.89187096568627,2.369838056749515",Rue d'Aubervilliers 75019 Paris,2275N1192415K,A,A,18.4,1.3,Il existe plusieurs descriptifs ENR,2022-05-30
3992,"48.89428096187521,2.3581539525834145",Rue de la Chapelle 75018 Paris,2275N0380762Z,B,A,74.0,3.0,,2022-02-23
3993,"48.89464204054697,2.314974045668648",119 Boulevard Bessières 75017 Paris,2375N3794185N,C,C,67.9,14.8,panneaux solaires thermiques,2023-10-17
3994,"48.89093695608735,2.3274999681367423",21 Rue Etex 75018 Paris,2175N0607269T,B,B,45.7,10.0,,2021-10-21
3995,"48.89502602383224,2.371699011130133",182 Rue d'Aubervilliers 75019 Paris,2275N1346216V,C,C,90.2,19.8,,2022-06-08
3996,"48.89502602383224,2.371699011130133",182 Rue d'Aubervilliers 75019 Paris,2275N1346084T,C,C,86.6,19.0,,2022-06-08
3997,"48.83834795814197,2.371533980234012",Rue Fulton 75013 Paris,2275N2125226T,A,A,10.6,3.1,,2022-09-07
